MEA_DDHR,CWBUOY_WRTM,CWBUOY_WH,CWBUOY_ATENT_WH,CWBUOY_AVG_WH,CWBUOY_WVPRD
2016-04-01 00:00,6.3,0.1,0.1,0.1,6.6
2016-04-01 01:00,6.4,0.2,0.1,0.1,7.1
2016-04-01 02:00,6.5,0.2,0.1,0.1,6.6
2016-04-01 03:00,6.4,0.1,0.1,0.1,4.3
2016-04-01 04:00,6.4,0.2,0.1,0.1,4.2
2016-04-01 05:00,6.3,0.2,0.1,0.1,4.2
2016-04-01 06:00,6.3,0.2,0.1,0.1,4.3
2016-04-01 07:00,6.3,0.2,0.2,0.1,6.4
2016-04-01 08:00,6.2,0.2,0.1,0.1,5.7
2016-04-01 09:00,6.1,0.2,0.2,0.1,4.2
2016-04-01 10:00,6.5,0.3,0.2,0.2,4.8
2016-04-01 11:00,6.2,0.3,0.3,0.2,4.1
2016-04-01 12:00,7.2,0.2,0.2,0.1,4.0
2016-04-01 13:00,6.9,0.2,0.2,0.1,5.8
2016-04-01 14:00,6.8,0.2,0.1,0.1,5.5
2016-04-01 15:00,7.3,0.2,0.2,0.1,5.6
2016-04-01 16:00,7.3,0.3,0.2,0.2,5.3
2016-04-01 17:00,6.6,0.5,0.4,0.2,6.4
2016-04-01 18:00,6.4,0.2,0.2,0.1,4.0
2016-04-01 19:00,6.3,0.3,0.2,0.1,4.3
2016-04-01 20:00,6.5,0.3,0.2,0.1,3.5
2016-04-01 21:00,6.4,0.2,0.2,0.1,3.6
2016-04-01 22:00,7.3,0.2,0.1,0.1,4.0
2016-04-01 23:00,6.3,0.2,0.2,0.1,4.2
2016-04-02 00:00,6.3,0.3,0.2,0.1,3.5
2016-04-02 01:00,6.3,0.2,0.1,0.1,4.9
2016-04-02 02:00,6.4,0.1,0.1,0.1,4.7
2016-04-02 03:00,6.4,0.2,0.1,0.1,5.0
2016-04-02 04:00,6.6,0.1,0.1,0.1,3.9
2016-04-02 05:00,6.8,0.2,0.1,0.1,3.7
2016-04-02 06:00,6.5,0.2,0.1,0.1,3.7
2016-04-02 07:00,6.4,0.2,0.1,0.1,3.5
2016-04-02 08:00,6.4,0.3,0.2,0.1,4.3
2016-04-02 09:00,6.3,0.4,0.3,0.2,4.8
2016-04-02 10:00,6.5,0.4,0.3,0.2,4.1
2016-04-02 11:00,6.8,0.3,0.3,0.2,4.0
2016-04-02 12:00,6.9,0.3,0.2,0.1,3.6
2016-04-02 13:00,6.3,0.3,0.2,0.1,3.7
2016-04-02 14:00,7.2,0.2,0.2,0.1,3.7
2016-04-02 15:00,6.6,0.2,0.1,0.1,5.2
2016-04-02 16:00,7.4,0.2,0.2,0.1,4.5
2016-04-02 17:00,7.2,0.2,0.2,0.1,3.9
2016-04-02 18:00,6.9,0.5,0.3,0.2,5.8
2016-04-02 19:00,6.8,0.2,0.2,0.1,3.9
2016-04-02 20:00,6.4,0.3,0.2,0.1,3.2
2016-04-02 21:00,6.4,0.2,0.2,0.1,3.5
2016-04-02 22:00,6.3,0.2,0.1,0.1,3.7
2016-04-02 23:00,6.8,0.4,0.2,0.2,4.0
2016-04-03 00:00,6.9,0.3,0.2,0.1,3.8
2016-04-03 01:00,6.6,0.2,0.2,0.1,4.5
2016-04-03 02:00,6.3,0.3,0.2,0.1,5.0
2016-04-03 03:00,6.4,0.3,0.2,0.1,5.2
2016-04-03 04:00,6.5,0.3,0.2,0.1,5.5
2016-04-03 05:00,6.6,0.3,0.2,0.1,5.2
2016-04-03 06:00,6.9,0.3,0.2,0.1,4.7
2016-04-03 07:00,8.0,0.4,0.3,0.2,5.4
2016-04-03 08:00,6.7,0.3,0.2,0.1,4.4
2016-04-03 09:00,6.7,0.3,0.2,0.1,3.9
2016-04-03 10:00,6.5,0.3,0.2,0.1,4.0
2016-04-03 11:00,6.4,0.3,0.2,0.1,4.7
2016-04-03 12:00,6.4,0.5,0.3,0.2,4.3
2016-04-03 13:00,6.4,0.4,0.3,0.2,3.2
2016-04-03 14:00,6.3,0.3,0.2,0.1,3.2
2016-04-03 15:00,6.3,0.3,0.2,0.1,3.3
2016-04-03 16:00,6.4,0.3,0.2,0.1,3.8
2016-04-03 17:00,6.6,0.3,0.2,0.1,4.5
2016-04-03 18:00,6.7,0.3,0.2,0.1,4.7
2016-04-03 19:00,7.4,0.2,0.2,0.1,4.4
2016-04-03 20:00,6.7,0.3,0.2,0.1,3.4
2016-04-03 21:00,6.7,0.2,0.2,0.1,3.6
2016-04-03 22:00,6.5,0.3,0.2,0.1,3.6
2016-04-03 23:00,6.6,0.2,0.2,0.1,4.0
2016-04-04 00:00,6.5,0.2,0.1,0.1,3.8
2016-04-04 01:00,6.3,0.2,0.1,0.1,3.9
2016-04-04 02:00,6.3,0.3,0.2,0.1,2.6
2016-04-04 03:00,6.3,0.2,0.1,0.1,3.1
2016-04-04 04:00,6.4,0.2,0.1,0.1,7.8
2016-04-04 05:00,6.4,0.2,0.1,0.1,7.0
2016-04-04 06:00,6.8,0.2,0.2,0.1,6.6
2016-04-04 07:00,6.9,0.2,0.1,0.1,6.1
2016-04-04 08:00,7.3,0.3,0.2,0.2,4.2
2016-04-04 09:00,6.7,0.3,0.2,0.1,3.2
2016-04-04 10:00,7.2,0.3,0.2,0.1,3.3
2016-04-04 11:00,7.0,0.3,0.2,0.1,4.9
2016-04-04 12:00,7.0,0.2,0.1,0.1,5.1
2016-04-04 13:00,6.6,0.3,0.2,0.1,4.1
2016-04-04 14:00,6.5,0.4,0.3,0.2,3.2
2016-04-04 15:00,6.6,0.4,0.2,0.2,2.6
2016-04-04 16:00,6.6,0.4,0.3,0.2,3.4
2016-04-04 17:00,6.6,0.2,0.2,0.1,4.2
2016-04-04 18:00,7.1,0.3,0.2,0.1,5.9
2016-04-04 19:00,6.9,0.4,0.3,0.2,5.8
2016-04-04 20:00,6.9,0.3,0.2,0.1,5.1
2016-04-04 21:00,6.9,0.6,0.3,0.2,3.3
2016-04-04 22:00,6.7,0.4,0.3,0.2,2.9
2016-04-04 23:00,6.8,0.5,0.3,0.2,2.9
2016-04-05 00:00,6.7,0.2,0.2,0.1,4.6
2016-04-05 01:00,6.6,0.2,0.2,0.1,4.3
2016-04-05 02:00,6.4,0.3,0.2,0.2,3.1
2016-04-05 03:00,6.4,0.5,0.3,0.2,2.8
2016-04-05 04:00,6.5,0.4,0.2,0.2,3.0
2016-04-05 05:00,6.5,0.3,0.2,0.1,5.4
2016-04-05 06:00,6.9,0.5,0.3,0.2,7.9
2016-04-05 07:00,7.0,0.4,0.2,0.1,9.7
2016-04-05 08:00,6.9,0.4,0.2,0.1,7.3
2016-04-05 09:00,7.0,0.4,0.3,0.2,5.6
2016-04-05 10:00,6.9,0.3,0.2,0.1,4.2
2016-04-05 11:00,7.0,0.5,0.3,0.2,4.2
2016-04-05 12:00,7.3,0.2,0.1,0.1,6.1
2016-04-05 13:00,7.1,0.3,0.2,0.1,6.6
2016-04-05 14:00,6.7,0.3,0.2,0.1,5.5
2016-04-05 15:00,6.7,0.5,0.3,0.2,2.4
2016-04-05 16:00,6.6,0.5,0.4,0.2,2.7
2016-04-05 17:00,6.8,0.4,0.4,0.2,6.4
2016-04-05 18:00,6.9,0.2,0.2,0.2,4.8
2016-04-05 19:00,7.2,0.5,0.3,0.2,11.2
2016-04-05 20:00,7.0,0.3,0.3,0.2,9.7
2016-04-05 21:00,7.0,0.3,0.2,0.1,5.3
2016-04-05 22:00,7.0,0.3,0.2,0.2,2.9
2016-04-05 23:00,6.9,0.3,0.2,0.1,2.9
2016-04-06 00:00,6.9,0.2,0.1,0.1,5.5
2016-04-06 01:00,6.9,0.2,0.2,0.1,7.1
2016-04-06 02:00,6.8,0.2,0.1,0.1,7.9
2016-04-06 03:00,6.7,0.2,0.1,0.1,4.3
2016-04-06 04:00,6.7,0.2,0.2,0.1,3.6
2016-04-06 05:00,6.9,0.2,0.1,0.1,8.3
2016-04-06 06:00,6.9,0.2,0.1,0.1,6.1
2016-04-06 07:00,7.0,0.3,0.3,0.2,11.0
2016-04-06 08:00,7.1,0.5,0.4,0.2,10.1
2016-04-06 09:00,7.0,0.2,0.2,0.1,8.1
2016-04-06 10:00,7.1,0.3,0.2,0.1,5.5
2016-04-06 11:00,7.0,0.2,0.2,0.1,4.6
2016-04-06 12:00,7.3,0.3,0.2,0.1,5.7
2016-04-06 13:00,7.3,0.5,0.3,0.2,10.3
2016-04-06 14:00,6.9,0.3,0.2,0.1,8.9
2016-04-06 15:00,6.9,0.2,0.1,0.1,7.7
2016-04-06 16:00,6.8,0.2,0.1,0.1,3.5
2016-04-06 17:00,7.0,0.2,0.2,0.1,5.6
2016-04-06 18:00,6.9,0.4,0.4,0.2,10.3
2016-04-06 19:00,7.3,0.3,0.2,0.2,8.9
2016-04-06 20:00,7.0,0.8,0.5,0.3,11.9
2016-04-06 21:00,7.0,0.5,0.3,0.2,9.7
2016-04-06 22:00,7.0,0.2,0.1,0.1,8.1
2016-04-06 23:00,7.0,0.2,0.1,0.1,2.9
2016-04-07 00:00,7.0,0.2,0.1,0.1,5.5
2016-04-07 01:00,7.0,0.4,0.3,0.2,9.8
2016-04-07 02:00,7.1,0.4,0.3,0.2,10.2
2016-04-07 03:00,6.9,0.4,0.4,0.2,10.4
2016-04-07 04:00,6.8,0.2,0.2,0.1,3.0
2016-04-07 05:00,6.9,0.3,0.2,0.1,2.8
2016-04-07 06:00,7.1,0.2,0.1,0.1,6.8
2016-04-07 07:00,7.0,0.4,0.3,0.2,9.8
2016-04-07 08:00,7.1,0.6,0.5,0.3,11.9
2016-04-07 09:00,7.1,0.5,0.3,0.2,10.3
2016-04-07 10:00,7.0,0.3,0.2,0.1,7.7
2016-04-07 11:00,7.4,0.3,0.2,0.1,4.7
2016-04-07 12:00,7.1,0.2,0.2,0.1,6.1
2016-04-07 13:00,8.2,0.2,0.2,0.1,6.2
2016-04-07 14:00,7.2,0.4,0.3,0.2,10.3
2016-04-07 15:00,7.3,0.4,0.3,0.2,9.6
2016-04-07 16:00,7.0,0.3,0.2,0.1,7.6
