iter	Passed	Remaining
0	5	5387
1	9	4533
2	12	4160
3	16	4006
4	19	3876
5	23	3863
6	27	3851
7	31	3892
8	34	3836
9	38	3800
10	42	3796
11	45	3784
12	49	3759
13	52	3729
14	56	3703
15	60	3693
16	64	3706
17	70	3856
18	74	3853
19	78	3861
20	82	3854
21	86	3841
22	89	3822
23	94	3844
24	98	3836
25	101	3815
26	105	3796
27	108	3778
28	112	3764
29	115	3743
30	119	3732
31	123	3723
32	126	3720
33	131	3748
34	135	3731
35	138	3715
36	142	3710
37	146	3696
38	149	3688
39	153	3675
40	156	3669
41	160	3667
42	164	3669
43	169	3675
44	172	3664
45	176	3666
46	180	3663
47	184	3654
48	188	3648
49	191	3636
50	195	3633
51	198	3625
52	202	3614
53	205	3607
54	209	3599
55	212	3588
56	216	3579
57	219	3570
58	223	3563
59	226	3553
60	230	3542
61	233	3537
62	237	3528
63	240	3523
64	244	3512
65	248	3510
66	251	3505
67	255	3502
68	258	3493
69	262	3485
70	265	3479
71	269	3474
72	273	3469
73	276	3461
74	280	3461
75	285	3467
76	288	3462
77	293	3468
78	298	3475
79	302	3477
80	307	3489
81	313	3513
82	322	3566
83	327	3570
84	332	3577
85	336	3577
86	341	3581
87	345	3585
88	350	3590
89	355	3593
90	359	3593
91	364	3593
92	368	3596
93	372	3594
94	377	3593
95	380	3586
96	385	3585
97	389	3581
98	393	3583
99	398	3585
100	402	3586
101	407	3590
102	413	3599
103	417	3600
104	422	3602
105	426	3598
106	430	3595
107	434	3590
108	439	3589
109	443	3590
110	447	3587
111	452	3587
112	456	3586
113	460	3581
114	464	3577
115	468	3573
116	473	3576
117	484	3619
118	488	3614
119	491	3607
120	496	3604
121	500	3600
122	504	3596
123	508	3592
124	513	3595
125	517	3587
126	520	3581
127	524	3575
128	529	3575
129	537	3595
130	541	3590
131	544	3583
132	548	3575
133	555	3591
134	566	3631
135	570	3623
136	574	3618
137	578	3610
138	582	3607
139	586	3603
140	591	3601
141	597	3609
142	602	3609
143	606	3605
144	610	3599
145	614	3595
146	619	3597
147	624	3595
148	628	3588
149	633	3587
150	636	3581
151	641	3577
152	645	3573
153	649	3567
154	653	3562
155	657	3557
156	662	3554
157	666	3550
158	670	3544
159	674	3540
160	678	3534
161	682	3531
162	686	3526
163	691	3523
164	694	3516
165	698	3511
166	703	3507
167	708	3508
168	712	3504
169	717	3505
170	721	3499
171	725	3493
172	729	3486
173	733	3480
174	736	3473
175	740	3467
176	744	3460
177	747	3454
178	752	3451
179	756	3446
180	760	3439
181	763	3432
182	767	3426
183	770	3418
184	774	3412
185	778	3405
186	782	3400
187	786	3398
188	791	3394
189	795	3391
190	799	3387
191	804	3384
192	808	3379
193	812	3374
194	815	3368
195	819	3363
196	823	3357
197	827	3352
198	831	3347
199	836	3345
200	840	3341
201	845	3340
202	850	3338
203	854	3332
204	858	3328
205	862	3323
206	866	3318
207	870	3312
208	873	3306
209	877	3301
210	882	3299
211	886	3295
212	891	3292
213	895	3287
214	899	3284
215	903	3280
216	907	3274
217	911	3269
218	915	3265
219	920	3262
220	924	3258
221	929	3256
222	933	3251
223	936	3245
224	940	3241
225	944	3236
226	948	3230
227	952	3225
228	956	3220
229	960	3216
230	964	3210
231	968	3205
232	972	3202
233	976	3197
234	980	3193
235	984	3187
236	988	3182
237	993	3180
238	997	3177
239	1001	3172
240	1005	3166
241	1009	3162
242	1013	3158
243	1018	3154
244	1023	3155
245	1028	3151
246	1032	3146
247	1036	3142
248	1039	3136
249	1043	3131
250	1047	3125
251	1051	3121
252	1056	3119
253	1060	3113
254	1063	3108
255	1068	3103
256	1071	3098
257	1075	3093
258	1079	3087
259	1083	3083
260	1088	3080
261	1091	3075
262	1095	3069
263	1099	3064
264	1103	3059
265	1106	3054
266	1111	3050
267	1115	3046
268	1119	3042
269	1123	3037
270	1127	3032
271	1131	3027
272	1134	3022
273	1139	3018
274	1143	3015
275	1147	3011
276	1151	3006
277	1155	3001
278	1159	2997
279	1163	2991
280	1166	2985
281	1170	2981
282	1174	2975
283	1178	2971
284	1183	2968
285	1187	2965
286	1197	2975
287	1201	2970
288	1205	2965
289	1209	2961
290	1213	2956
291	1217	2952
292	1221	2947
293	1225	2943
294	1229	2939
295	1234	2934
296	1237	2930
297	1241	2925
298	1247	2924
299	1251	2920
300	1255	2915
301	1259	2910
302	1262	2904
303	1266	2899
304	1270	2894
305	1273	2889
306	1278	2884
307	1282	2880
308	1286	2876
309	1292	2875
310	1296	2872
311	1300	2867
312	1304	2863
313	1309	2860
314	1312	2855
315	1316	2850
316	1321	2846
317	1325	2841
318	1329	2837
319	1333	2834
320	1338	2830
321	1342	2826
322	1346	2821
323	1349	2816
324	1353	2811
325	1357	2806
326	1361	2801
327	1364	2796
328	1368	2790
329	1371	2785
330	1375	2780
331	1379	2775
332	1382	2769
333	1386	2764
334	1389	2758
335	1393	2753
336	1396	2748
337	1400	2742
338	1404	2737
339	1407	2732
340	1411	2727
341	1414	2722
342	1418	2716
343	1421	2711
344	1425	2705
345	1428	2700
346	1432	2695
347	1435	2689
348	1439	2685
349	1443	2680
350	1447	2675
351	1450	2670
352	1455	2668
353	1459	2662
354	1462	2657
355	1466	2652
356	1470	2647
357	1473	2642
358	1477	2637
359	1480	2632
360	1484	2627
361	1487	2622
362	1491	2616
363	1495	2612
364	1498	2607
365	1502	2603
366	1506	2597
367	1510	2594
368	1514	2590
369	1518	2585
370	1522	2581
371	1525	2575
372	1529	2571
373	1533	2566
374	1536	2561
375	1541	2558
376	1545	2553
377	1548	2548
378	1552	2544
379	1556	2539
380	1561	2536
381	1566	2533
382	1571	2532
383	1576	2528
384	1582	2527
385	1586	2523
386	1591	2521
387	1596	2517
388	1600	2513
389	1604	2509
390	1607	2504
391	1611	2499
392	1614	2494
393	1618	2488
394	1621	2483
395	1625	2478
396	1628	2473
397	1631	2467
