"","tma","stn_id","avg_ta","max_ta","min_ta","avg_rhm","min_rhm","avg_tca","avg_lmac","max_ca"
"1","2020-01-01 00:00:00.0",129,-0.3,5.2,-7.1,76.8,47,8.8,NA,10
"2","2020-01-03 00:00:00.0",129,0.7,6.5,-3.7,80.3,45,5.4,NA,9
"3","2020-01-05 00:00:00.0",129,0.9,7.4,-6,61.5,27,4.9,NA,10
"4","2020-01-06 00:00:00.0",129,3.3,4.8,0.8,86.4,52,10,NA,10
"5","2020-01-07 00:00:00.0",129,8.2,13.1,4.8,98,98,9.8,NA,10
"6","2020-01-10 00:00:00.0",129,-0.9,5.1,-4.5,81.1,47,6.4,NA,10
"7","2020-01-12 00:00:00.0",129,1.2,4.6,-1.4,64.3,48,7,NA,10
"8","2020-01-15 00:00:00.0",129,-1.5,3.5,-5.2,72,44,3.6,NA,9
"9","2020-01-16 00:00:00.0",129,-1.4,3.3,-5.5,63.1,24,7.9,NA,10
"10","2020-01-18 00:00:00.0",129,-1,6.1,-6.6,69,29,1.8,NA,8
"11","2020-01-21 00:00:00.0",129,-0.7,5.7,-6.9,56.1,23,3.8,NA,10
"12","2020-01-23 00:00:00.0",129,4.2,9.9,0.8,68.1,37,4.9,NA,10
"13","2020-01-25 00:00:00.0",129,2.9,8.1,-0.8,78.9,59,8.1,NA,10
"14","2020-01-28 00:00:00.0",129,6.6,10.9,3.5,66.6,45,8.3,NA,10
"15","2020-01-29 00:00:00.0",129,6.1,11,2.7,61.1,36,7.8,NA,10
"16","2020-01-30 00:00:00.0",129,3.3,10.6,-2,75.5,33,3.9,NA,9
"17","2020-01-02 00:00:00.0",129,1.4,5.6,-3.2,83,63,8.4,NA,10
"18","2020-01-04 00:00:00.0",129,0.1,8,-4.3,81,40,2.5,NA,9
"19","2020-01-08 00:00:00.0",129,3.5,7.3,2.4,83.6,64,7.8,NA,10
"20","2020-01-09 00:00:00.0",129,0.4,4.3,-3.7,72.6,54,3.8,NA,9
"21","2020-01-11 00:00:00.0",129,0.8,5.9,-3.5,74.8,32,6.8,NA,10
"22","2020-01-13 00:00:00.0",129,0,2,-3.2,61.3,41,5.9,NA,9
"23","2020-01-14 00:00:00.0",129,-0.9,3.5,-4.1,67.8,43,7,NA,9
"24","2020-01-17 00:00:00.0",129,-1.4,4.9,-5.3,65.6,35,4.6,NA,10
"25","2020-01-19 00:00:00.0",129,1.7,7.4,-3.7,71.9,49,6.6,NA,10
"26","2020-01-20 00:00:00.0",129,1.7,7.1,-2.7,62,34,4.4,NA,10
"27","2020-01-22 00:00:00.0",129,1.8,4.1,-0.9,71.6,51,9.3,NA,10
"28","2020-01-24 00:00:00.0",129,2.4,7.6,-1.3,74,43,6,NA,10
"29","2020-01-26 00:00:00.0",129,5.8,11.1,-0.6,64.8,46,7.8,NA,10
"30","2020-01-27 00:00:00.0",129,5.4,7.6,3.4,66,44,9.9,NA,10
"31","2020-01-31 00:00:00.0",129,0.6,7.3,-3.6,79.5,48,3.4,NA,8
